Timestamp,Open,High,Low,Close,Volume
1325658060,5.29,5.29,5.29,5.29,0
1325658120,5.29,5.29,5.29,5.29,0
1325658180,5.29,5.29,5.29,5.29,0
1325658240,5.29,5.29,5.29,5.29,0
1325658300,5.29,5.29,5.29,5.29,0
1325658360,5.29,5.29,5.29,5.29,0
1325658420,5.29,5.29,5.29,5.29,0
1325658480,5.29,5.29,5.29,5.29,0
1325658540,5.29,5.29,5.29,5.29,0
1325658600,5.29,5.29,5.29,5.29,0
1325658660,5.29,5.29,5.29,5.29,0
1325658720,5.29,5.29,5.29,5.29,0
1325658780,5.29,5.29,5.29,5.29,0
1325658840,5.29,5.29,5.29,5.29,0
1325658900,5.29,5.29,5.29,5.29,0
1325658960,5.29,5.29,5.29,5.29,0
1325659020,5.29,5.29,5.29,5.29,0
1325659080,5.29,5.29,5.29,5.29,0
1325659140,5.29,5.29,5.29,5.29,0
1325659200,5.29,5.29,5.29,5.29,0
1325659260,5.29,5.29,5.29,5.29,0
1325659320,5.29,5.29,5.29,5.29,0
1325659380,5.29,5.29,5.29,5.29,0
1325659440,5.29,5.29,5.29,5.29,0
1325659500,5.29,5.29,5.29,5.29,0
1325659560,5.29,5.29,5.29,5.29,0
1325659620,5.29,5.29,5.29,5.29,0
1325659680,5.29,5.29,5.29,5.29,0
1325659740,5.29,5.29,5.29,5.29,0
1325659800,5.29,5.29,5.29,5.29,0
1325659860,5.29,5.29,5.29,5.29,0
1325659920,5.29,5.29,5.29,5.29,0
1325659980,5.29,5.29,5.29,5.29,0
1325660040,5.29,5.29,5.29,5.29,0
1325660100,5.29,5.29,5.29,5.29,0
1325660160,5.29,5.29,5.29,5.29,0
1325660220,5.29,5.29,5.29,5.29,0
1325660280,5.29,5.29,5.29,5.29,0
1325660340,5.29,5.29,5.29,5.29,0
1325660400,5.29,5.29,5.29,5.29,0
1325660460,5.29,5.29,5.29,5.29,0
1325660520,5.29,5.29,5.29,5.29,0
1325660580,5.29,5.29,5.29,5.29,0
1325660640,5.29,5.29,5.29,5.29,0
1325660700,5.29,5.29,5.29,5.29,0
1325660760,5.29,5.29,5.29,5.29,0
1325660820,5.29,5.29,5.29,5.29,0
1325660880,5.29,5.29,5.29,5.29,0
1325660940,5.29,5.29,5.29,5.29,0
1325661000,5.29,5.29,5.29,5.29,0
1325661060,5.29,5.29,5.29,5.29,0
1325661120,5.29,5.29,5.29,5.29,0
1325661180,5.29,5.29,5.29,5.29,0
1325661240,5.29,5.29,5.29,5.29,0
1325661300,5.29,5.29,5.29,5.29,0
1325661360,5.29,5.29,5.29,5.29,0
1325661420,5.29,5.29,5.29,5.29,0
1325661480,5.29,5.29,5.29,5.29,0
1325661540,5.29,5.29,5.29,5.29,0
1325661600,5.29,5.29,5.29,5.29,0
1325661660,5.29,5.29,5.29,5.29,0
1325661720,5.29,5.29,5.29,5.29,0
1325661780,5.29,5.29,5.29,5.29,0
1325661840,5.29,5.29,5.29,5.29,0
1325661900,5.29,5.29,5.29,5.29,0
1325661960,5.29,5.29,5.29,5.29,0
1325662020,5.29,5.29,5.29,5.29,0
1325662080,5.29,5.29,5.29,5.29,0
1325662140,5.29,5.29,5.29,5.29,0
1325662200,5.29,5.29,5.29,5.29,0
1325662260,5.29,5.29,5.29,5.29,0
1325662320,5.29,5.29,5.29,5.29,0
1325662380,5.29,5.29,5.29,5.29,0
1325662440,5.29,5.29,5.29,5.29,0
1325662500,5.29,5.29,5.29,5.29,0
1325662560,5.29,5.29,5.29,5.29,0
1325662620,5.29,5.29,5.29,5.29,0
1325662680,5.29,5.29,5.29,5.29,0
1325662740,5.29,5.29,5.29,5.29,0
1325662800,5.29,5.29,5.29,5.29,0
1325662860,5.29,5.29,5.29,5.29,0
1325662920,5.29,5.29,5.29,5.29,0
1325662980,5.29,5.29,5.29,5.29,0
1325663040,5.29,5.29,5.29,5.29,0
1325663100,5.29,5.29,5.29,5.29,0
1325663160,5.29,5.29,5.29,5.29,0
1325663220,5.29,5.29,5.29,5.29,0
1325663280,5.29,5.29,5.29,5.29,0
1325663340,5.29,5.29,5.29,5.29,0
1325663400,5.29,5.29,5.29,5.29,0
1325663460,5.29,5.29,5.29,5.29,0
1325663520,5.29,5.29,5.29,5.29,0
1325663580,5.29,5.29,5.29,5.29,0
1325663640,5.29,5.29,5.29,5.29,0
1325663700,5.29,5.29,5.29,5.29,0
1325663760,5.29,5.29,5.29,5.29,0
1325663820,5.29,5.29,5.29,5.29,0
1325663880,5.29,5.29,5.29,5.29,0
1325663940,5.29,5.29,5.29,5.29,0
1325664000,5.29,5.29,5.29,5.29,0
1325664060,5.29,5.29,5.29,5.29,0
1325664120,5.29,5.29,5.29,5.29,0
1325664180,5.29,5.29,5.29,5.29,0
1325664240,5.29,5.29,5.29,5.29,0
1325664300,5.29,5.29,5.29,5.29,0
1325664360,5.29,5.29,5.29,5.29,0
1325664420,5.29,5.29,5.29,5.29,0
1325664480,5.29,5.29,5.29,5.29,0
1325664540,5.29,5.29,5.29,5.29,0
1325664600,5.29,5.29,5.29,5.29,0
1325664660,5.29,5.29,5.29,5.29,0
1325664720,5.29,5.29,5.29,5.29,0
1325664780,5.29,5.29,5.29,5.29,0
1325664840,5.29,5.29,5.29,5.29,0
1325664900,5.29,5.29,5.29,5.29,0
1325664960,5.29,5.29,5.29,5.29,0
1325665020,5.29,5.29,5.29,5.29,0
1325665080,5.29,5.29,5.29,5.29,0
1325665140,5.29,5.29,5.29,5.29,0
1325665200,5.29,5.29,5.29,5.29,0
1325665260,5.29,5.29,5.29,5.29,0
1325665320,5.29,5.29,5.29,5.29,0
1325665380,5.29,5.29,5.29,5.29,0
1325665440,5.29,5.29,5.29,5.29,0
1325665500,5.29,5.29,5.29,5.29,0
1325665560,5.29,5.29,5.29,5.29,0
